股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
恒生科技ETF易方达,513010,2025-05-21 10:30,0.737,0.74,0.742,0.736,3679161,272030744.0,0.82,0.54,0.004,2.36
恒生科技ETF易方达,513010,2025-05-21 11:30,0.74,0.739,0.742,0.739,2206596,163442480.0,0.41,-0.14,-0.001,1.41
恒生科技ETF易方达,513010,2025-05-21 14:00,0.739,0.739,0.744,0.739,2657833,196995041.0,0.68,0.0,0.0,1.7
恒生科技ETF易方达,513010,2025-05-21 15:00,0.739,0.737,0.74,0.737,1148672,84814640.0,0.41,-0.27,-0.002,0.74
恒生科技ETF易方达,513010,2025-05-22 10:30,0.736,0.735,0.739,0.734,2895851,213219541.0,0.68,-0.27,-0.002,1.85
恒生科技ETF易方达,513010,2025-05-22 11:30,0.736,0.735,0.737,0.731,2321143,170423597.0,0.82,0.0,0.0,1.49
恒生科技ETF易方达,513010,2025-05-22 14:00,0.735,0.732,0.735,0.728,2521022,184222151.0,0.95,-0.41,-0.003,1.61
恒生科技ETF易方达,513010,2025-05-22 15:00,0.732,0.726,0.732,0.725,1963051,142753415.0,0.96,-0.82,-0.006,1.26
恒生科技ETF易方达,513010,2025-05-23 10:30,0.728,0.728,0.731,0.723,4139529,301439244.0,1.1,0.28,0.002,2.65
恒生科技ETF易方达,513010,2025-05-23 11:30,0.728,0.731,0.734,0.727,2520102,184236094.0,0.96,0.41,0.003,1.61
恒生科技ETF易方达,513010,2025-05-23 14:00,0.731,0.728,0.733,0.728,1625864,118758422.0,0.68,-0.41,-0.003,1.04
恒生科技ETF易方达,513010,2025-05-23 15:00,0.728,0.721,0.729,0.721,3249153,235477757.0,1.1,-0.96,-0.007,2.08
恒生科技ETF易方达,513010,2025-05-26 10:30,0.72,0.72,0.721,0.712,4775316,342463855.0,1.25,-0.14,-0.001,3.06
恒生科技ETF易方达,513010,2025-05-26 11:30,0.72,0.713,0.72,0.71,1787204,127693270.0,1.39,-0.97,-0.007,1.14
恒生科技ETF易方达,513010,2025-05-26 14:00,0.713,0.711,0.714,0.708,1506780,107075631.0,0.84,-0.28,-0.002,0.96
恒生科技ETF易方达,513010,2025-05-26 15:00,0.712,0.712,0.714,0.71,1845548,131330016.0,0.56,0.14,0.001,1.18
恒生科技ETF易方达,513010,2025-05-27 10:30,0.707,0.712,0.715,0.706,4167559,296442083.0,1.26,0.0,0.0,2.67
恒生科技ETF易方达,513010,2025-05-27 11:30,0.712,0.706,0.713,0.704,1985328,140592628.0,1.26,-0.84,-0.006,1.27
恒生科技ETF易方达,513010,2025-05-27 14:00,0.707,0.713,0.713,0.707,2144212,152172968.0,0.85,0.99,0.007,1.37
恒生科技ETF易方达,513010,2025-05-27 15:00,0.712,0.714,0.716,0.712,2530427,180582108.0,0.56,0.14,0.001,1.62
恒生科技ETF易方达,513010,2025-05-28 10:30,0.717,0.713,0.72,0.713,3414091,244839110.0,0.98,-0.14,-0.001,2.19
恒生科技ETF易方达,513010,2025-05-28 11:30,0.713,0.713,0.717,0.712,1581627,112934929.0,0.7,0.0,0.0,1.01
恒生科技ETF易方达,513010,2025-05-28 14:00,0.713,0.713,0.715,0.711,1162493,82886533.0,0.56,0.0,0.0,0.74
恒生科技ETF易方达,513010,2025-05-28 15:00,0.713,0.712,0.713,0.71,955273,68029438.0,0.42,-0.14,-0.001,0.61
恒生科技ETF易方达,513010,2025-05-29 10:30,0.716,0.72,0.722,0.714,6903551,496364858.0,1.12,1.12,0.008,4.42
恒生科技ETF易方达,513010,2025-05-29 11:30,0.72,0.723,0.725,0.719,3546083,255972841.0,0.83,0.42,0.003,2.27
恒生科技ETF易方达,513010,2025-05-29 14:00,0.725,0.73,0.733,0.724,4776590,348336976.0,1.24,0.97,0.007,3.06
恒生科技ETF易方达,513010,2025-05-29 15:00,0.73,0.73,0.73,0.725,2319499,168845048.0,0.68,0.0,0.0,1.49
恒生科技ETF易方达,513010,2025-05-30 10:30,0.723,0.714,0.723,0.712,6085137,436479954.0,1.51,-2.19,-0.016,3.9
恒生科技ETF易方达,513010,2025-05-30 11:30,0.714,0.713,0.715,0.711,2401627,171207675.0,0.56,-0.14,-0.001,1.54
恒生科技ETF易方达,513010,2025-05-30 14:00,0.713,0.713,0.715,0.712,1223575,87286687.0,0.42,0.0,0.0,0.78
恒生科技ETF易方达,513010,2025-05-30 15:00,0.713,0.713,0.714,0.712,1392040,99241895.0,0.28,0.0,0.0,0.89
恒生科技ETF易方达,513010,2025-06-03 10:30,0.713,0.714,0.72,0.713,6110260,437660842.0,0.98,0.14,0.001,3.91
恒生科技ETF易方达,513010,2025-06-03 11:30,0.715,0.715,0.718,0.714,2467621,176561854.0,0.56,0.14,0.001,1.58
恒生科技ETF易方达,513010,2025-06-03 14:00,0.714,0.715,0.716,0.713,2068567,147721412.0,0.42,0.0,0.0,1.32
恒生科技ETF易方达,513010,2025-06-03 15:00,0.715,0.715,0.717,0.714,1846632,132119866.0,0.42,0.0,0.0,1.18
恒生科技ETF易方达,513010,2025-06-04 10:30,0.714,0.722,0.723,0.713,6570504,473142698.0,1.4,0.98,0.007,4.21
恒生科技ETF易方达,513010,2025-06-04 11:30,0.721,0.723,0.724,0.719,2265240,163436011.0,0.69,0.14,0.001,1.45
恒生科技ETF易方达,513010,2025-06-04 14:00,0.723,0.723,0.724,0.72,1441002,103956536.0,0.55,0.0,0.0,0.92
恒生科技ETF易方达,513010,2025-06-04 15:00,0.722,0.72,0.723,0.718,1624598,117003898.0,0.69,-0.41,-0.003,1.04
恒生科技ETF易方达,513010,2025-06-05 10:30,0.727,0.729,0.733,0.724,5632816,410269602.0,1.25,1.25,0.009,3.61
恒生科技ETF易方达,513010,2025-06-05 11:30,0.729,0.727,0.732,0.727,2073021,151125640.0,0.69,-0.27,-0.002,1.33
恒生科技ETF易方达,513010,2025-06-05 14:00,0.727,0.729,0.73,0.724,4532496,329796843.0,0.83,0.28,0.002,2.9
恒生科技ETF易方达,513010,2025-06-05 15:00,0.729,0.731,0.731,0.727,1633085,119047266.0,0.55,0.27,0.002,1.05
恒生科技ETF易方达,513010,2025-06-06 10:30,0.732,0.727,0.733,0.726,4080431,297602312.0,0.96,-0.55,-0.004,2.61
恒生科技ETF易方达,513010,2025-06-06 11:30,0.726,0.728,0.73,0.725,2605378,189563758.0,0.69,0.14,0.001,1.67
恒生科技ETF易方达,513010,2025-06-06 14:00,0.728,0.727,0.73,0.726,1428816,104006539.0,0.55,-0.14,-0.001,0.91
恒生科技ETF易方达,513010,2025-06-06 15:00,0.727,0.729,0.73,0.726,2013766,146656220.0,0.55,0.28,0.002,1.29
恒生科技ETF易方达,513010,2025-06-09 10:30,0.734,0.749,0.75,0.734,7775865,577147135.0,2.19,2.74,0.02,4.98
恒生科技ETF易方达,513010,2025-06-09 11:30,0.749,0.745,0.751,0.744,3660008,273769527.0,0.93,-0.53,-0.004,2.34
恒生科技ETF易方达,513010,2025-06-09 14:00,0.744,0.744,0.745,0.741,2681420,199312851.0,0.54,-0.13,-0.001,1.72
恒生科技ETF易方达,513010,2025-06-09 15:00,0.745,0.746,0.747,0.743,2113708,157499464.0,0.54,0.27,0.002,1.35
恒生科技ETF易方达,513010,2025-06-10 10:30,0.749,0.748,0.75,0.745,3969248,296671560.0,0.67,0.27,0.002,2.54
恒生科技ETF易方达,513010,2025-06-10 11:30,0.748,0.746,0.749,0.745,1341317,100110596.0,0.53,-0.27,-0.002,0.86
恒生科技ETF易方达,513010,2025-06-10 14:00,0.746,0.739,0.747,0.735,4850728,358965664.0,1.61,-0.94,-0.007,3.11
恒生科技ETF易方达,513010,2025-06-10 15:00,0.739,0.74,0.741,0.737,2842144,210120319.0,0.54,0.14,0.001,1.82
恒生科技ETF易方达,513010,2025-06-11 10:30,0.744,0.749,0.753,0.744,5058218,378940971.0,1.22,1.22,0.009,3.24
恒生科技ETF易方达,513010,2025-06-11 11:30,0.749,0.75,0.752,0.746,2577157,193088694.0,0.8,0.13,0.001,1.65
恒生科技ETF易方达,513010,2025-06-11 14:00,0.751,0.753,0.755,0.75,2360533,177646485.0,0.67,0.4,0.003,1.51
恒生科技ETF易方达,513010,2025-06-11 15:00,0.754,0.753,0.756,0.753,3644534,274809445.0,0.4,0.0,0.0,2.33
恒生科技ETF易方达,513010,2025-06-12 10:30,0.742,0.744,0.745,0.741,4396447,326618959.0,0.53,-1.2,-0.009,2.81
恒生科技ETF易方达,513010,2025-06-12 11:30,0.744,0.745,0.747,0.743,1875345,139705570.0,0.54,0.13,0.001,1.2
恒生科技ETF易方达,513010,2025-06-12 14:00,0.745,0.74,0.745,0.738,2888398,214042202.0,0.94,-0.67,-0.005,1.85
恒生科技ETF易方达,513010,2025-06-12 15:00,0.74,0.74,0.741,0.738,2543677,188080304.0,0.41,0.0,0.0,1.63
恒生科技ETF易方达,513010,2025-06-13 10:30,0.731,0.722,0.733,0.721,9275239,675877749.0,1.62,-2.43,-0.018,5.94
恒生科技ETF易方达,513010,2025-06-13 11:30,0.722,0.722,0.723,0.719,2406717,173513777.0,0.55,0.0,0.0,1.54
恒生科技ETF易方达,513010,2025-06-13 14:00,0.722,0.721,0.723,0.719,3205857,231041638.0,0.55,-0.14,-0.001,2.05
恒生科技ETF易方达,513010,2025-06-13 15:00,0.722,0.721,0.724,0.72,1680994,121378913.0,0.55,0.0,0.0,1.08
恒生科技ETF易方达,513010,2025-06-16 10:30,0.72,0.729,0.729,0.719,5733927,415113975.0,1.39,1.11,0.008,3.67
恒生科技ETF易方达,513010,2025-06-16 11:30,0.729,0.726,0.729,0.725,1219299,88629401.0,0.55,-0.41,-0.003,0.78
恒生科技ETF易方达,513010,2025-06-16 14:00,0.726,0.728,0.73,0.725,1288176,93771132.0,0.69,0.28,0.002,0.82
恒生科技ETF易方达,513010,2025-06-16 15:00,0.728,0.729,0.73,0.727,1832868,133593362.0,0.41,0.14,0.001,1.17
恒生科技ETF易方达,513010,2025-06-17 10:30,0.734,0.731,0.737,0.731,3684712,270432267.0,0.82,0.27,0.002,2.36
恒生科技ETF易方达,513010,2025-06-17 11:30,0.731,0.73,0.732,0.728,1084133,79171364.0,0.55,-0.14,-0.001,0.69
恒生科技ETF易方达,513010,2025-06-17 14:00,0.731,0.729,0.732,0.728,1194001,87163934.0,0.55,-0.14,-0.001,0.76
恒生科技ETF易方达,513010,2025-06-17 15:00,0.728,0.73,0.731,0.727,1090540,79528676.0,0.55,0.14,0.001,0.7
恒生科技ETF易方达,513010,2025-06-18 10:30,0.728,0.721,0.728,0.719,3531929,255576286.0,1.23,-1.23,-0.009,2.26
恒生科技ETF易方达,513010,2025-06-18 11:30,0.721,0.72,0.723,0.72,1449400,104512373.0,0.42,-0.14,-0.001,0.93
恒生科技ETF易方达,513010,2025-06-18 14:00,0.721,0.721,0.723,0.72,1123803,81088478.0,0.42,0.14,0.001,0.72
恒生科技ETF易方达,513010,2025-06-18 15:00,0.721,0.722,0.722,0.719,1333379,96114380.0,0.42,0.14,0.001,0.85
恒生科技ETF易方达,513010,2025-06-19 10:30,0.718,0.715,0.721,0.715,3915105,280861380.0,0.83,-0.97,-0.007,2.51
恒生科技ETF易方达,513010,2025-06-19 11:30,0.716,0.709,0.716,0.708,2266943,161385036.0,1.12,-0.84,-0.006,1.45
恒生科技ETF易方达,513010,2025-06-19 14:00,0.706,0.705,0.708,0.704,3453022,243893411.0,0.56,-0.56,-0.004,2.21
恒生科技ETF易方达,513010,2025-06-19 15:00,0.705,0.705,0.706,0.703,1862529,131187011.0,0.43,0.0,0.0,1.19
恒生科技ETF易方达,513010,2025-06-20 10:30,0.708,0.708,0.71,0.705,2481763,175657874.0,0.71,0.43,0.003,1.59
恒生科技ETF易方达,513010,2025-06-20 11:30,0.708,0.707,0.709,0.705,1086841,76867429.0,0.56,-0.14,-0.001,0.7
恒生科技ETF易方达,513010,2025-06-20 14:00,0.708,0.705,0.71,0.705,1741819,123272372.0,0.71,-0.28,-0.002,1.12
恒生科技ETF易方达,513010,2025-06-20 15:00,0.705,0.706,0.707,0.704,1663934,117379188.0,0.43,0.14,0.001,1.07
恒生科技ETF易方达,513010,2025-06-23 10:30,0.703,0.706,0.707,0.7,3472582,244416232.0,0.99,0.0,0.0,2.22
恒生科技ETF易方达,513010,2025-06-23 11:30,0.706,0.711,0.715,0.705,2854194,202510572.0,1.42,0.71,0.005,1.83
恒生科技ETF易方达,513010,2025-06-23 14:00,0.71,0.715,0.717,0.71,3494846,249660457.0,0.98,0.56,0.004,2.24
恒生科技ETF易方达,513010,2025-06-23 15:00,0.716,0.717,0.717,0.715,2110262,151067198.0,0.28,0.28,0.002,1.35
恒生科技ETF易方达,513010,2025-06-24 10:30,0.722,0.729,0.732,0.722,5639216,410423516.0,1.39,1.67,0.012,3.61
恒生科技ETF易方达,513010,2025-06-24 11:30,0.73,0.732,0.734,0.729,2448696,179055903.0,0.69,0.41,0.003,1.57
恒生科技ETF易方达,513010,2025-06-24 14:00,0.732,0.728,0.734,0.727,2991357,218605930.0,0.96,-0.55,-0.004,1.92
恒生科技ETF易方达,513010,2025-06-24 15:00,0.729,0.733,0.734,0.728,2036673,148965837.0,0.82,0.69,0.005,1.3
恒生科技ETF易方达,513010,2025-06-25 10:30,0.737,0.734,0.741,0.734,4102008,302502780.0,0.95,0.14,0.001,2.63
恒生科技ETF易方达,513010,2025-06-25 11:30,0.734,0.738,0.738,0.734,1301251,95771564.0,0.54,0.54,0.004,0.83
恒生科技ETF易方达,513010,2025-06-25 14:00,0.737,0.738,0.738,0.734,1765569,130032636.0,0.54,0.0,0.0,1.13
恒生科技ETF易方达,513010,2025-06-25 15:00,0.738,0.741,0.742,0.737,3232970,239145630.0,0.68,0.41,0.003,2.07
恒生科技ETF易方达,513010,2025-06-26 10:30,0.736,0.738,0.74,0.732,4016079,295864686.0,1.08,-0.4,-0.003,2.57
恒生科技ETF易方达,513010,2025-06-26 11:30,0.738,0.738,0.74,0.737,1369813,101179666.0,0.41,0.0,0.0,0.88
恒生科技ETF易方达,513010,2025-06-26 14:00,0.738,0.734,0.738,0.733,1367840,100635866.0,0.68,-0.54,-0.004,0.88
恒生科技ETF易方达,513010,2025-06-26 15:00,0.734,0.735,0.736,0.733,1088827,79975765.0,0.41,0.14,0.001,0.7
恒生科技ETF易方达,513010,2025-06-27 10:30,0.739,0.74,0.742,0.734,4054957,299436172.0,1.09,0.68,0.005,2.6
恒生科技ETF易方达,513010,2025-06-27 11:30,0.74,0.739,0.744,0.737,2014667,149135110.0,0.95,-0.14,-0.001,1.29
恒生科技ETF易方达,513010,2025-06-27 14:00,0.738,0.736,0.74,0.735,1850735,136340905.0,0.68,-0.41,-0.003,1.18
恒生科技ETF易方达,513010,2025-06-27 15:00,0.736,0.737,0.738,0.735,1710879,125974789.0,0.41,0.14,0.001,1.1
恒生科技ETF易方达,513010,2025-06-30 10:30,0.736,0.737,0.74,0.735,3714097,273809851.0,0.68,0.0,0.0,2.38
恒生科技ETF易方达,513010,2025-06-30 11:30,0.737,0.736,0.739,0.734,1522568,112122413.0,0.68,-0.14,-0.001,0.97
恒生科技ETF易方达,513010,2025-06-30 14:00,0.736,0.735,0.739,0.735,2254030,166109230.0,0.54,-0.14,-0.001,1.44
恒生科技ETF易方达,513010,2025-06-30 15:00,0.735,0.737,0.737,0.735,808388,59532055.0,0.27,0.27,0.002,0.52
